model,description,original_arm,trajectory,windows,rel_l2,u_rmse,v_rmse,tke_rel_l2,mean_field_rel_l2,fluctuation_rel_l2,tke_field_rel_l2,tke_energy_ratio,delta_rel_l2_vs_current80,delta_tke_vs_current80,delta_mean_field_vs_current80,delta_fluctuation_vs_current80
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,7575_20.h5,42,0.105397572187463,0.0080113548120815,0.0057294630310415,0.4782525119626311,0.0657131147346006,0.6909967028671783,0.4782525119626311,0.7370842523090793,-0.0001997495806125016,0.0010853807595141984,-4.7939905662791604e-05,-0.0017872846311548507
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,8850_20.h5,42,0.1046962898363353,0.0091971490957371,0.0064929287333742,0.4945433756597949,0.0640040468895839,0.7087268182463283,0.4945433756597949,0.7183078962755253,-0.00021731208303549243,0.0001213221762322858,-6.153002612480085e-05,-0.001965959351153179
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,10125_0.h5,29,0.0398765168631408,0.0043679345021883,0.0027374243293226,0.381644168700454,0.0206104957157444,0.7537573716575032,0.381644168700454,0.7954812941457157,0.00040317074463180197,-0.013001270393507125,2.508322468689969e-05,0.010195441281705797
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,10125_15.h5,42,0.0847298149233153,0.009102336496803,0.0050454229564445,0.4360828744926823,0.0485737490135432,0.6921101580739716,0.4360828744926823,0.792758236599865,0.0006834641616567938,-0.0131311266595584,1.368056405429835e-05,0.008474912874641305
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,11400_5.h5,42,0.0420821159322483,0.0054414164207958,0.0028546924949684,0.4638491074960011,0.0213831083968722,0.8813258613967461,0.4638491074960011,0.7789594488497967,0.000402612281175406,-0.013917731534009103,6.540030083329942e-05,0.010528541996990382
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,19050_0.h5,42,0.0490026685848636,0.0099502211372834,0.0062372722827789,0.4633656064406385,0.0221128170784742,1.0188108933703708,0.4633656064406385,0.792550334758272,0.00044328195339090465,-0.011054332707542469,-2.5296645770701842e-05,0.012083006989630052
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,20325_10.h5,42,0.0763492368931429,0.0175648464994401,0.006896704931943,0.464835844713848,0.0382532959698575,0.8276256893723765,0.464835844713848,0.7814809021293535,0.0012530713695678986,-0.022043118420807917,0.00010733059703409847,0.017783571058863634
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,20325_20.h5,42,0.0993368427540577,0.0202691291446149,0.012439215917042,0.4124139756372973,0.0522051868952882,0.7195687639803402,0.4124139756372973,0.8117214312792992,0.0008830042675436051,-0.013469697320908691,0.00018195722675670017,0.008286672111932902
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,21600_15.h5,42,0.0982232194161757,0.0223449561328915,0.0085876996352411,0.4423070328616417,0.0507777641006172,0.7403313366323523,0.4423070328616417,0.7153600620562988,0.0011241338454167082,-0.020736421239161085,0.00019859904720579552,0.010710473407572363
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,21600_5.h5,23,0.0456829351114028,0.0107058763079531,0.0058938904589576,0.4636027074797974,0.0201616048365908,1.0872784863234544,0.4636027074797974,0.8240006780008797,0.0005657432582235958,-0.010501327601197874,7.255288806060078e-05,0.01568993128120555
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,22875_15.h5,42,0.1037862717940067,0.0249762392648028,0.0089755621136811,0.4805876544571264,0.0515323357044022,0.79962116289256,0.4805876544571264,0.7146610047791871,0.001388416379275198,-0.02037437014981852,0.0002930886149887027,0.01294724608968334
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,25425_20.h5,42,0.1272621467346971,0.0330452453958793,0.0136322642028693,0.5547137779533491,0.0683476460051903,0.7368895031794508,0.5547137779533491,0.6350615901166933,0.0007251293188557106,-0.016319752760003192,0.0001077229643458022,0.005683902650764017
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,26700_10.h5,42,0.101237125333727,0.0303606858361018,0.0082145006429194,0.5061917626761728,0.0512189932735769,0.7923205367227837,0.5061917626761728,0.6334052198760531,0.001142835427410005,-0.01863571318393964,0.00031710319974480317,0.01062245453146815
