model,trajectory,window_start,horizon,rel_l2,mvpe,velocity_squared_error
plain_piv_cno,8850_5,0,1,0.13320402801036835,0.16702470183372498,0.00011550125782378018
plain_piv_cno,8850_5,20,1,0.13500522077083588,0.15488693118095398,0.00011719617032213137
plain_piv_cno,8850_5,40,1,0.1342255026102066,0.17407119274139404,0.00011470934987301007
plain_piv_cno,8850_5,60,1,0.13662919402122498,0.1675417125225067,0.00011903487029485404
plain_piv_cno,8850_5,80,1,0.1405596286058426,0.16770675778388977,0.00012426290777511895
plain_piv_cno,8850_5,100,1,0.13652266561985016,0.17293435335159302,0.00011756823369069025
plain_piv_cno,8850_5,120,1,0.13262173533439636,0.18301308155059814,0.00011212639219593257
plain_piv_cno,8850_5,140,1,0.13457415997982025,0.1549043506383896,0.00011680180614348501
plain_piv_cno,8850_5,160,1,0.13113448023796082,0.15272094309329987,0.00011204392649233341
plain_piv_cno,8850_5,180,1,0.12923677265644073,0.16415490210056305,0.00010870151163544506
plain_piv_cno,8850_5,200,1,0.12965695559978485,0.15856215357780457,0.0001090798614313826
plain_piv_cno,8850_5,220,1,0.13395999372005463,0.17872540652751923,0.00011477804218884557
plain_piv_cno,8850_5,240,1,0.1319999247789383,0.1752062439918518,0.00011064918362535536
plain_piv_cno,8850_5,260,1,0.1355035901069641,0.14669014513492584,0.00011618449934758246
plain_piv_cno,8850_5,280,1,0.1334654539823532,0.17182974517345428,0.00011406887642806396
plain_piv_cno,8850_5,300,1,0.1346345841884613,0.17547346651554108,0.00011577610712265596
plain_piv_cno,8850_5,320,1,0.13879111409187317,0.17531368136405945,0.0001231339992955327
plain_piv_cno,8850_5,340,1,0.13445088267326355,0.1679345816373825,0.00011570243805181235
plain_piv_cno,8850_5,360,1,0.1338723748922348,0.171818345785141,0.0001137340150307864
plain_piv_cno,8850_5,380,1,0.14062201976776123,0.16989672183990479,0.0001230556663358584
plain_piv_cno,8850_5,400,1,0.1352623552083969,0.17877355217933655,0.00011353775335010141
plain_piv_cno,8850_5,420,1,0.1373303085565567,0.1816217601299286,0.00011789979907916859
plain_piv_cno,8850_5,440,1,0.13606813549995422,0.17094585299491882,0.000116247872938402
plain_piv_cno,8850_5,460,1,0.13433484733104706,0.15247297286987305,0.00011467836156953126
plain_piv_cno,8850_5,480,1,0.13290706276893616,0.1724785715341568,0.00011237998842261732
plain_piv_cno,8850_5,500,1,0.1363322138786316,0.1836778074502945,0.00011647170322248712
plain_piv_cno,8850_5,520,1,0.13643905520439148,0.1805722862482071,0.00011476405779831111
plain_piv_cno,8850_5,540,1,0.1391826719045639,0.17223422229290009,0.00012109000090276822
plain_piv_cno,8850_5,560,1,0.13788819313049316,0.1584240049123764,0.00011947869643336162
plain_piv_cno,8850_5,580,1,0.1357530951499939,0.16599534451961517,0.00011829954019049183
plain_piv_cno,8850_5,600,1,0.133700892329216,0.16971559822559357,0.00011641667515505105
plain_piv_cno,8850_5,620,1,0.13605284690856934,0.15398061275482178,0.0001204005820909515
plain_piv_cno,8850_5,640,1,0.13065579533576965,0.1537933349609375,0.00011007426655851305
plain_piv_cno,8850_5,660,1,0.13213369250297546,0.1808110773563385,0.00011316531163174659
plain_piv_cno,8850_5,680,1,0.1443096101284027,0.18651509284973145,0.0001319849252467975
plain_piv_cno,8850_5,700,1,0.13766811788082123,0.1593758761882782,0.0001184681968879886
plain_piv_cno,8850_5,720,1,0.13585251569747925,0.1467621624469757,0.00011594749230425805
plain_piv_cno,8850_5,740,1,0.13954511284828186,0.1850120574235916,0.00012281340605113655
plain_piv_cno,8850_5,760,1,0.1328989863395691,0.15784341096878052,0.00011307459499221295
plain_piv_cno,8850_5,780,1,0.13424654304981232,0.16268327832221985,0.00011464588169474155
plain_piv_cno,8850_5,800,1,0.1331731379032135,0.1751112937927246,0.00011375851318007335
plain_piv_cno,8850_5,820,1,0.13520045578479767,0.1613343358039856,0.00011508257011882961
plain_piv_cno,8850_10,0,1,0.15821143984794617,0.2247568815946579,0.00015369585889857262
plain_piv_cno,8850_10,20,1,0.1574050635099411,0.23107653856277466,0.00015414133667945862
plain_piv_cno,8850_10,40,1,0.16094473004341125,0.20239953696727753,0.00016224247519858181
plain_piv_cno,8850_10,60,1,0.16618238389492035,0.23226109147071838,0.00017301857587881386
plain_piv_cno,8850_10,80,1,0.15385600924491882,0.21548353135585785,0.0001504826359450817
plain_piv_cno,8850_10,100,1,0.15413792431354523,0.2148885279893875,0.0001539299264550209
plain_piv_cno,8850_10,120,1,0.16176705062389374,0.22763457894325256,0.00016495304589625448
plain_piv_cno,8850_10,140,1,0.15764838457107544,0.21709398925304413,0.00015759450616315007
plain_piv_cno,8850_10,160,1,0.15803207457065582,0.24819692969322205,0.00015732897736597806
plain_piv_cno,8850_10,180,1,0.161077082157135,0.24958010017871857,0.00016241658886428922
plain_piv_cno,8850_10,200,1,0.15107783675193787,0.21079427003860474,0.00014255271526053548
plain_piv_cno,8850_10,220,1,0.16175569593906403,0.25727126002311707,0.00016228662570938468
plain_piv_cno,8850_10,240,1,0.16465818881988525,0.24079284071922302,0.00016743522428441793
plain_piv_cno,8850_10,260,1,0.15428194403648376,0.21067029237747192,0.000145130354212597
plain_piv_cno,8850_10,280,1,0.1612335443496704,0.2535529136657715,0.00016250909538939595
