trajectory_id,horizon,alpha,windows,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2,frame_rel_l2_improvement_vs_base,frame_rmse_improvement_vs_base,tke_contrib_rel_l2_improvement_vs_base,mvpe_probe_rel_l2_improvement_vs_base,tke_contrib_ratio_delta_vs_base
10125_0.h5,12,0.0,29,0.050969575012068204,0.0046513522409227645,0.6594171003584528,0.7458554710669844,0.03450209341373901,0.0,0.0,0.0,0.0,0.0
10125_0.h5,12,0.5,29,0.049558415638139,0.004522674574101111,0.6575477541617496,0.760086261586803,0.03500898459808447,0.02768630842213371,0.027664571538904892,0.0028348464055406586,-0.01469160662997937,0.014230790519818681
10125_0.h5,12,1.0,29,0.04910407982337826,0.004481298640891077,0.6614534309142518,0.7923371709392878,0.036070543540214495,0.03660017153857453,0.036560034850843914,-0.0030880766584489017,-0.04545956408114393,0.04648169987230344
10125_0.h5,13,0.0,29,0.05142399320619429,0.004692768015376377,0.6867638796168136,0.6964224008180862,0.03572152532043548,0.0,0.0,0.0,0.0,0.0
10125_0.h5,13,0.5,29,0.049914763799256356,0.00455508676483683,0.6761922742718179,0.6932173398361554,0.035270435162073115,0.029348740011037155,0.029339027646033022,0.01539336249147849,0.012627964632414668,-0.0032050609819307407
10125_0.h5,13,1.0,29,0.04943972648726915,0.004511770260263089,0.673389454776987,0.7201281954657344,0.03555744972081826,0.03858639897856331,0.0385695083413945,0.019474560670385,0.004593185709327985,0.023705794647648215
10125_0.h5,14,0.0,29,0.0519055363384828,0.004736894148191043,0.7080959260075402,0.6376304797225664,0.035808941731044104,0.0,0.0,0.0,0.0,0.0
10125_0.h5,14,0.5,29,0.050376833437250426,0.004597388574385462,0.6957196792268938,0.6321672785375839,0.03461641281435407,0.029451634817209138,0.029450853120468468,0.01747820644926945,0.03330254565038393,-0.005463201184982447
10125_0.h5,14,1.0,29,0.04985935166778228,0.004550139164271553,0.691033781369886,0.6612371922612552,0.034043769859700854,0.03942131832252116,0.039425618997800393,0.024095809636775822,0.0492941646977787,0.023606712538688845
10125_0.h5,15,0.0,29,0.053108008495498356,0.004844412354333117,0.7273792705920022,0.616867476127937,0.03505764832321745,0.0,0.0,0.0,0.0,0.0
10125_0.h5,15,0.5,29,0.05137853434657837,0.004687098160411068,0.7247853875388592,0.5830778636445868,0.03345603361173482,0.03256522317282118,0.03247332853103191,0.003566066779758348,0.045685172511184646,-0.03378961248335022
