window,rms,norm,relative_to_global_output
206,0.0008228534134104848,0.001163690467365086,0.01026157010346651
207,0.0008236957946792245,0.001164881745353341,0.010245995596051216
208,0.0008197298157028854,0.0011592729715630412,0.010265187360346317
209,0.0008159196004271507,0.0011538845719769597,0.010248260572552681
210,0.0008121203863993287,0.0011485116556286812,0.01027818862348795
211,0.0008179791620932519,0.0011567972833290696,0.01026400551199913
212,0.0008168839267455041,0.0011552482610568404,0.010258910246193409
213,0.0008192496025003493,0.0011585939209908247,0.010230520740151405
214,0.0008196659618988633,0.0011591827496886253,0.010225617326796055
215,0.0008169711218215525,0.0011553715448826551,0.010252445936203003
216,0.0008113151416182518,0.00114737288095057,0.01028429064899683
217,0.000807213073130697,0.0011415716726332903,0.010279434733092785
218,0.0008074354263953865,0.0011418862268328667,0.010254716500639915
219,0.0008120518759824336,0.0011484147980809212,0.010259198024868965
220,0.0008119430858641863,0.0011482610134407878,0.010248194448649883
221,0.0008141468861140311,0.0011513775680214167,0.010247629135847092
222,0.0008125552558340132,0.0011491266777738929,0.010308001190423965
223,0.0008063343702815473,0.0011403289390727878,0.010307710617780685
224,0.0008073021890595555,0.0011416977504268289,0.010265636257827282
225,0.0008100462728179991,0.0011455784551799297,0.010245811194181442
226,0.0008170382352545857,0.001155466539785266,0.01022331602871418
227,0.0008216244168579578,0.00116195238661021,0.010220021940767765
228,0.0008256196742877364,0.0011676024878397584,0.010198022238910198
229,0.0008204958285205066,0.0011603563325479627,0.01024420652538538
230,0.0008216987480409443,0.0011620575096458197,0.010243650525808334
231,0.0008191507076844573,0.0011584539897739887,0.010276220738887787
232,0.000812932790722698,0.0011496605584397912,0.010265970602631569
233,0.0008096195524558425,0.001144974958151579,0.010252799838781357
234,0.0008113157236948609,0.001147373695857823,0.010231897234916687
235,0.0008169695502147079,0.0011553694494068623,0.010236242786049843
236,0.0008156303083524108,0.0011534754885360599,0.010262422263622284
237,0.0008195439586415887,0.0011590102221816778,0.010236090049147606
238,0.0008156602852977812,0.001153517747297883,0.010261999443173409
239,0.0008062688866630197,0.0011402363888919353,0.01023863535374403
240,0.0008085929439403117,0.0011435231426730752,0.010160583071410656
241,0.0008113451767712831,0.001147415372543037,0.010094976983964443
242,0.0008128900662995875,0.0011496002553030849,0.010152873583137989
243,0.0008130535134114325,0.0011498313397169113,0.010123825632035732
244,0.0008207660284824669,0.0011607384076341987,0.010145281441509724
245,0.0008192295208573341,0.001158565515652299,0.010205649770796299
246,0.0008121986174955964,0.0011486222501844168,0.010141260921955109
247,0.0008149517234414816,0.0011525157606229186,0.010131496004760265
248,0.0008133381488732994,0.0011502339038997889,0.010199136100709438
249,0.0008103189757093787,0.0011459639063104987,0.010199067182838917
250,0.0008119373233057559,0.001148252747952938,0.010198070667684078
251,0.0008106859168037772,0.001146483002230525,0.01015249453485012
252,0.0008048254530876875,0.0011381950462237,0.010161037556827068
253,0.0008092623902484775,0.0011444698320701718,0.010234693996608257
254,0.0008180956356227398,0.001156961894594133,0.010191247798502445
255,0.0008143364102579653,0.0011516455560922623,0.010194474831223488
256,0.0008072431664913893,0.001141614280641079,0.010165545158088207
257,0.0008145141764543951,0.0011518970131874084,0.010122564621269703
258,0.0008130777860060334,0.0011498656822368503,0.010179015807807446
259,0.0008091249619610608,0.0011442754184827209,0.010152559727430344
260,0.0008134702802635729,0.001150420750491321,0.010173100046813488
261,0.0008152948576025665,0.0011530009796842933,0.010173906572163105
262,0.000808112439699471,0.0011428436264395714,0.010166646912693977
263,0.0008131234208121896,0.0011499301763251424,0.010191663168370724
264,0.0008159022545441985,0.001153860124759376,0.010205582715570927
265,0.0008070156909525394,0.0011412925086915493,0.010202720761299133
266,0.0008130418136715889,0.00114981469232589,0.010137888602912426
267,0.0008184572216123343,0.0011574733071029186,0.010181768797338009
268,0.0008210059022530913,0.0011610776418820024,0.010187213309109211
269,0.0008163750753737986,0.0011545285815373063,0.01016744039952755
270,0.0008207234204746783,0.0011606782209128141,0.010121243074536324
271,0.0008079088293015957,0.0011425557313486934,0.010188261978328228
272,0.000801211514044553,0.001133084180764854,0.010116413235664368
273,0.0008035162463784218,0.0011363435769453645,0.010206654667854309
274,0.0008057768573053181,0.0011395405745133758,0.01017364114522934
275,0.0008092386997304857,0.0011444363044574857,0.010155613534152508
276,0.0008174076792784035,0.0011559890117496252,0.01009994838386774
277,0.0008164534228853881,0.0011546395253390074,0.010115197859704494
278,0.0008130901260301471,0.0011498831445351243,0.010167747735977173
279,0.000803804665338248,0.001136751496233046,0.0102284150198102
280,0.0008011524914763868,0.001133000710979104,0.010276815854012966
281,0.0010328664211556315,0.0014606936601921916,0.009993275627493858
282,0.001020457479171455,0.0014431447489187121,0.009991628117859364
283,0.001031948602758348,0.001459395745769143,0.009937524795532227
284,0.0010532878804951906,0.0014895740896463394,0.00996274221688509
285,0.0010563436662778258,0.001493895542807877,0.009987497702240944
286,0.0010435024742037058,0.0014757353346794844,0.00998962577432394
