experiment,trajectory,window_start,horizon,rel_l2,mvpe,velocity_squared_error,pred_speed_mean,target_speed_mean
LOSS-E0-best,10125_0.h5,100,11,0.11157320439815521,0.06742975115776062,0.00019780127331614494,0.11926670372486115,0.11501722037792206
LOSS-E0-best,10125_0.h5,100,12,0.11092888563871384,0.06812983006238937,0.00019522175716701895,0.11933265626430511,0.11494763195514679
LOSS-E0-best,10125_0.h5,100,13,0.10911022871732712,0.06629607826471329,0.00018859232659451663,0.11879672110080719,0.11487969756126404
LOSS-E0-best,10125_0.h5,100,14,0.11030265688896179,0.06883711367845535,0.0001927358389366418,0.11889852583408356,0.11486677825450897
LOSS-E0-best,10125_0.h5,100,15,0.11385656893253326,0.07349283248186111,0.00020525604486465454,0.11945977061986923,0.11476265639066696
LOSS-E0-best,10125_0.h5,100,16,0.11746354401111603,0.07586540281772614,0.00021833390928804874,0.11931037902832031,0.11467791348695755
LOSS-E0-best,10125_0.h5,100,17,0.11603166908025742,0.06802162528038025,0.0002136040711775422,0.11745628714561462,0.1148637905716896
LOSS-E0-best,10125_0.h5,100,18,0.11671982705593109,0.07143303751945496,0.00021623822976835072,0.11880286037921906,0.11490548402070999
LOSS-E0-best,10125_0.h5,100,19,0.12566056847572327,0.07882476598024368,0.000251113815465942,0.12105090171098709,0.11508755385875702
LOSS-E0-best,10125_0.h5,100,20,0.14478638768196106,0.08808281272649765,0.00033406863803975284,0.12104703485965729,0.11525732278823853
LOSS-E0-best,10125_0.h5,120,1,0.11729581654071808,0.07577283680438995,0.00021920166909694672,0.11772381514310837,0.11521992832422256
LOSS-E0-best,10125_0.h5,120,2,0.1103278174996376,0.06379657983779907,0.00019436373258940876,0.11822965741157532,0.11538132280111313
LOSS-E0-best,10125_0.h5,120,3,0.10464872419834137,0.059641748666763306,0.00017513797502033412,0.11615113914012909,0.11546406149864197
LOSS-E0-best,10125_0.h5,120,4,0.10641986131668091,0.05319197103381157,0.00018148942035622895,0.11689116060733795,0.11555632948875427
LOSS-E0-best,10125_0.h5,120,5,0.1057492196559906,0.05519231781363487,0.0001796696160454303,0.11597755551338196,0.11568227410316467
LOSS-E0-best,10125_0.h5,120,6,0.1044115275144577,0.05720929056406021,0.000175395020050928,0.1176166832447052,0.11571851372718811
LOSS-E0-best,10125_0.h5,120,7,0.1053384393453598,0.05697251483798027,0.0001789510133676231,0.11680480092763901,0.11585897207260132
LOSS-E0-best,10125_0.h5,120,8,0.108291395008564,0.060343846678733826,0.00018945055489894003,0.11672670394182205,0.11596153676509857
LOSS-E0-best,10125_0.h5,120,9,0.10865028202533722,0.05949944630265236,0.00019108690321445465,0.11614738404750824,0.1160791888833046
LOSS-E0-best,10125_0.h5,120,10,0.10835132747888565,0.05860674008727074,0.00019033141143154353,0.11632061004638672,0.11620528250932693
LOSS-E0-best,10125_0.h5,120,11,0.10832280665636063,0.05903732031583786,0.0001906510442495346,0.11701682955026627,0.1163349598646164
LOSS-E0-best,10125_0.h5,120,12,0.10671331733465195,0.05955704301595688,0.00018520186131354421,0.11710983514785767,0.11636527627706528
LOSS-E0-best,10125_0.h5,120,13,0.1058671772480011,0.060354650020599365,0.0001825746730901301,0.11675502359867096,0.1164780929684639
LOSS-E0-best,10125_0.h5,120,14,0.10615967959165573,0.0631156787276268,0.0001838361786212772,0.11705458164215088,0.11653007566928864
LOSS-E0-best,10125_0.h5,120,15,0.1072886511683464,0.06618708372116089,0.00018770262249745429,0.11779942363500595,0.11644807457923889
LOSS-E0-best,10125_0.h5,120,16,0.11215823888778687,0.06851552426815033,0.00020511570619419217,0.1178504079580307,0.11643553525209427
LOSS-E0-best,10125_0.h5,120,17,0.11178082227706909,0.06593237817287445,0.0002037681406363845,0.11606532335281372,0.11647820472717285
LOSS-E0-best,10125_0.h5,120,18,0.10787756741046906,0.06181161850690842,0.00018979658489115536,0.11769241094589233,0.11649425327777863
LOSS-E0-best,10125_0.h5,120,19,0.11347854137420654,0.0631827563047409,0.00021017003746237606,0.11993665993213654,0.1165744885802269
LOSS-E0-best,10125_0.h5,120,20,0.1304340362548828,0.07336854189634323,0.00027810438768938184,0.11994150280952454,0.1166607216000557
LOSS-E0-best,10125_0.h5,140,1,0.11772899329662323,0.07725170999765396,0.00022679399990011007,0.1184716522693634,0.11666058003902435
LOSS-E0-best,10125_0.h5,140,2,0.10844207555055618,0.06472165137529373,0.00019275551312603056,0.11890248954296112,0.11673857271671295
LOSS-E0-best,10125_0.h5,140,3,0.10464189946651459,0.0623471662402153,0.00017979691619984806,0.11653055250644684,0.1168236956000328
LOSS-E0-best,10125_0.h5,140,4,0.10502689331769943,0.05480014160275459,0.00018185866065323353,0.11731848865747452,0.1171184852719307
LOSS-E0-best,10125_0.h5,140,5,0.1058523952960968,0.05861663445830345,0.0001853967405622825,0.11658765375614166,0.11734513193368912
